"Номер товара";"Превью";"Запчасть";"Секция";"Цена";"Комплектация";"Марка";"Модель";"Поколение донора";"Рестайлинг донора";"Кузов";"Двигатель";"Год выпуска";"Передний / Задний";"Оценка состояния";"Левый / Правый";"Номер донора";"Установка";"Цвет";"Комментарий";"Производитель";"Номер производителя";"Кросс-номера";"Заметка";"Маркировка";"Mercedes (свободно)";"Mercedes (резерв)";"Mercedes (ожидается)";"VAG (свободно)";"VAG (резерв)";"VAG (ожидается)"
"108035";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_944.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_945.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_946.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_947.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_948.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_949.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_950.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_951.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_952.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_953.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_954.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_955.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_956.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_957.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_958.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_959.jpg";"АКПП 722.909";"01-03-01-01-04";"110000";"Левый руль, АКПП, Полный";"Mercedes-Benz";"GL-class";"2";"дорест. 2012—2015";"x166";"278928";"2014";"";"";"";"1021";"0";"";"722909, W 7 C 700, 7-СТУПЕНЧАТАЯ АКП W7C700
Для Mercedes-Benz X166 GL-Class GL550
A1662701502 / A1662708101

Контрактная. Из Японии, пробег 69т.км.

ВАЖНО!!! БЕЗ ЭЛ.ПЛАТЫ УПРАВЛЕНИЯ

Гидротрансформатор A2312500002 / A2312500402
Гидроблок A2312705200 / A2312703801 / A2312700560";"Mercedes-Benz";"A1662701502";"A1662708101, A2312500002, A2312500402, A2312705200, A2312703801, A2312700560";"";"";"1";"0";"0";"0";"0";"0"
"108034";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_960.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_961.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_962.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_963.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_964.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_965.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_966.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_967.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_968.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_969.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_970.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_971.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_972.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_973.jpg";"АКПП 722.999";"01-03-01-01-07";"75000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"C-class";"3";"дорест. 2007—2011";"w204";"272947";"2010";"";"";"";"1017";"0";"";"722999, W 7 C 700, 7-СТУПЕНЧАТАЯ АКП W7C700

Из Японии. Пробег 32т.км.

Гидротрансформатор A2212501802
Гидроблок A2202700160";"Mercedes-Benz";"A2042702003";"A2212501802, A2202700160";"";"";"1";"0";"0";"0";"0";"0"
"108033";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_974.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_975.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_976.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_977.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_978.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_979.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_980.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_981.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_982.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_983.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_984.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_985.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_986.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_987.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_988.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_989.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_990.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_991.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_992.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_993.jpg";"АКПП 722.931";"01-03-01-01-07";"70000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"E-class";"4";"1 рест. 2013—2016";"w212";"157981";"2013";"";"";"";"1016";"0";"";"722931, K 7 C 1000, 7-СТУПЕНЧАТАЯ АКП K7C1000
Для Mercedes-Benz E63 AMG W212 E-Class 
A2122703109

Контрактная. Из Японии, пробег 151т.км.

ВАЖНО!!! БЕЗ ЭЛ.ПЛАТЫ УПРАВЛЕНИЯ

Муфта сцепления A2212500301
Гидроблок A2302706800";"Mercedes-Benz";"A2122703109";"A2302706800, A2212500301";"";"";"1";"0";"0";"0";"0";"0"
"106697";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_893.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_894.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_895.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_896.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_897.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_898.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_899.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_900.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_901.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_902.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_903.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_904.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_905.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_906.jpg";"АКПП 722.695";"01-03-01-01-14";"45000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"C-class";"2";"1 рест. 2004—2008";"w203";"271946";"2006";"";"";"";"985";"0";"";"АКПП 722695, W 5 A 330, АВТОМАТИЧЕСКАЯ 5-СТУПЕНЧАТАЯ КП С ГИДРОТРАНСФОРМАТОРОМ A2112500902
ГИДРОБЛОК A2112700006
Пробег 53т.км. Из Японии
Снята с Mercedes-Benz C180 kompressor W203";"Mercedes-Benz";"A2112703300";"A2112500902";"";"";"1";"0";"0";"0";"0";"0"
"106694";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_848.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_849.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_850.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_851.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_852.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_853.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_854.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_855.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_856.jpg";"АКПП 722.904";"01-03-01-01-08";"120000";"Левый руль, АКПП, Полный";"Mercedes-Benz";"GL-class";"1";"1 рест. 2009—2012";"x164";"273963";"2011";"";"";"";"1024";"0";"";"722904, W 7 C 700, 7-СТУПЕНЧАТАЯ АКП W7C700
Для Mercedes-Benz X164 GL-Class GL550
A1642707602

Контрактная. Из Японии, пробег 71т.км.

Гидротрансформатор A2212501702
Гидроблок A2202700060
Плата A0002702600";"Mercedes-Benz";"A1642707602";"A2212501702, A2112703300";"";"";"1";"0";"0";"0";"0";"0"
"106655";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_048.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_049.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_050.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_051.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_052.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_053.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_054.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_055.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_056.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_057.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_058.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_059.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/49/0006_49_060.jpg";"АКПП 722.905";"01-03-01-01-04";"150000";"Правый руль, АКПП, Полный";"Mercedes-Benz";"M-class";"3";"дорест. 2011—2015";"w166";"157982";"2012";"";"";"";"1029";"0";"";"АКПП 722905, W 7  C700, АВТОМАТИЧЕСКАЯ 7-СТУПЕНЧАТАЯ КП С ГИДРОТРАНСФОРМАТОРОМ A2312500202
ГИДРОБЛОК A2122700006
ПЛАТА АКПП A0002702600 (FBS 3)

Пробег 68т.км. Из Японии

Снята с Mercedes-Benz ML63 AMG W166";"Mercedes-Benz";"A1662705500";"A2312500202, A2122700006, A0002702600";"";"";"1";"0";"0";"0";"0";"0"
"106056";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_879.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_880.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_881.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_882.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_883.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_884.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_885.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_886.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_887.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_888.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_889.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_890.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_891.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_892.jpg";"АКПП 722.616";"01-03-01-01-13";"55000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"C-class";"2";"дорест. 2000—2004";"w203";"111955";"2000";"";"";"";"1022";"0";"";"Автоматическая коробка переключения передач Mercedes-Benz 722.616 C200 kompressor w203 задний привод 
Контрактная. Из Японии Пробег 36т.км.";"Mercedes-Benz";"A2032700300";"A2102500502";"";"";"1";"0";"0";"0";"0";"0"
"106054";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_835.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_836.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_837.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_838.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_839.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_840.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_841.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_842.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_843.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_844.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_845.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_846.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_847.jpg";"Акпп 722.605";"01-03-01-01-13";"60000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"E-class";"2";"дорест. 1995—1999";"w210";"104995";"1996";"";"";"";"1003";"0";"";"Автоматическая коробка переключения передач Mercedes-Benz 722.605
722605, W 5 A330 контрактная 
Снята с Mercedes-Benz E320 W210 m104
Контрактная, пробег 61т.км.
Гидротрнсформатор A2102500502";"Mercedes-Benz";"A2102707500";"A2102500502";"";"";"1";"0";"0";"0";"0";"0"
"105809";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_907.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_908.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_909.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_910.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_911.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_912.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_913.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_914.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_915.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_916.jpg";"АКПП 722.695";"01-03-01-01-14";"55000";"Правый руль, АКПП, Задний";"Mercedes-Benz";"C-class";"2";"1 рест. 2004—2008";"w203";"271946";"2005";"";"";"";"999";"0";"";"АКПП 722695, W 5 A 330, АВТОМАТИЧЕСКАЯ 5-СТУПЕНЧАТАЯ КП С ГИДРОТРАНСФОРМАТОРОМ A2112500902
ГИДРОБЛОК A2112700006
Пробег 17т.км. Из Японии
Снята с Mercedes-Benz C180 kompressor W203";"Mercedes-Benz";"A2112703300";"A2112500902";"";"";"1";"0";"0";"0";"0";"0"
"105799";"http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_930.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_931.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_932.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_933.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_934.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_935.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_936.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_937.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_938.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_939.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_940.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_941.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_942.jpg, http://export-content.baz-on.ru/pub/c592/productphoto/0006/48/0006_48_943.jpg";"АКПП 722.674";"01-03-01-01-14";"60000";"Правый руль, АКПП, Полный";"Mercedes-Benz";"M-class";"3 пок. 2002—2009 (Mercedes-Benz E-Class)";"1 рест. 2006—2009 (Mercedes-Benz E-Class)";"w163";"112970";"2004";"";"";"";"1011";"0";"";"Автоматическая коробка переключения передач Mercedes-Benz 722.674
722674, W 5 A400 контрактная 
Снята с Mercedes-Benz ML350 W163
Контрактная, пробег 64т.км.
Гидротрнсформатор A1402500902
Гидроблок A2112700006";"Mercedes-Benz";"A1632703700";"A1402500902, A2112700006";"";"";"1";"0";"0";"0";"0";"0"
